UNIVERSIDAD DE ZARAGOZA	2012	59	83869175.77
AYUNTAMIENTO DE ZARAGOZA	2012	40	71810095.25
MANCOMUNIDAD TUROLENSE ELEVACION AGUAS DEL EBRO	2012	1	27000000.00
AGRUP ESPAÑOLA ENTIDADES ASEGURADORAS SE	2012	10	15547202.34
CONSEJO DE COLEGIOS DE ABOGADOS DE ARAGÓN	2012	1	13108910.00
JUNTA DE COMPENSACIÓN SECTOR 89/3	2012	1	10463740.00
ZARAGOZA LOGISTICS CENTER	2012	4	10161563.00
DIPUTACION PROVINCIAL DE HUESCA	2012	9	9840979.31
ESTACION INVERNAL VALLE DE ASTUN SA	2012	2	9383305.39
AGUAS DE LA CUENCA DEL EBRO SA	2012	2	8787708.01
