SANIDAD, BIENESTAR SOCIAL Y FAMILIA	2014	307	6027722.11
PRESIDENCIA Y JUSTICIA	2014	798	5123057.44
AGRICULTURA Y ALIMENTACION	2014	1	4338701.03
INDUSTRIA, COMERCIO Y TURISMO	2014	2	2000000.00
INSTITUTO ARAGONÉS DE FOMENTO	2014	32	926950.96
SANIDAD, BIENESTAR SOCIAL Y FAMILIA (IAJ)	2014	101	655000.00
PRESIDENCIA DEL GOBIERNO DE ARAGÓN	2014	119	407400.00
SANIDAD, BIENESTAR SOCIAL Y FAMILIA (IAM)	2014	67	375489.00
HACIENDA Y ADMINISTRACIÓN PÚBLICA	2014	9	291555.00
CONSEJO ECONÓMICO Y SOCIAL DE ARAGÓN	2014	8	23000.00
