SOCIEDAD CONCESIONARIA PUENTE DEL EBRO S.A.	2013	1	141267501.88
AYUNTAMIENTO DE ZARAGOZA	2013	40	75093465.61
UNIVERSIDAD DE ZARAGOZA	2013	59	27021074.86
CONSEJO DE COLEGIOS DE ABOGADOS DE ARAGÓN	2013	1	13108910.00
DIPUTACION PROVINCIAL DE HUESCA	2013	10	11709541.58
JUNTA DE COMPENSACIÓN SECTOR 89/3	2013	1	10463740.00
ZARAGOZA LOGISTICS CENTER	2013	5	10042158.30
ESTACION INVERNAL VALLE DE ASTUN SA	2013	2	9770023.90
AGRUP ESPAÑOLA ENTIDADES ASEGURADORAS SE	2013	4	9583150.09
AGUAS DE LA CUENCA DEL EBRO SA	2013	2	8787708.01
